chro_nb	genome	Chromosome	HC_peptides	LC_peptides	novel_peptides	SUM_peptides	HC_pep-mapped_genes	LC_pep-mapped_genes	SUM_pep-mapped_genes	HC_genes	LC_genes	SUM_genes	HC_%	LC_%	SUM_%	Chro_size
1	A	Chr1A	2883	235	79	3197	1286	128	1414	4359	6509	10868	29.5	2.0	13.0	594442527
1	B	Chr1B	3957	296	154	4407	1515	173	1688	4736	8112	12848	32.0	2.1	13.1	700547350
1	D	Chr1D	3332	224	67	3623	1329	114	1443	4487	6006	10493	29.6	1.9	13.8	498638509
2	A	Chr2A	4599	322	204	5125	1950	197	2147	5840	7884	13724	33.4	2.5	15.6	787782082
2	B	Chr2B	4523	448	207	5178	1994	255	2249	6152	9631	15783	32.4	2.6	14.2	812755788
2	D	Chr2D	5739	332	137	6208	2137	181	2318	5885	7550	13435	36.3	2.4	17.3	656544405
3	A	Chr3A	3095	231	87	3413	1391	141	1532	5237	7572	12809	26.6	1.9	12.0	754128162
3	B	Chr3B	6971	849	467	8287	2739	467	3206	5941	9351	15292	46.1	5.0	21.0	851934019
3	D	Chr3D	2589	207	63	2859	1194	103	1297	5306	6726	12032	22.5	1.5	10.8	619618552
4	A	Chr4A	4113	327	130	4570	1641	176	1817	4870	7680	12550	33.7	2.3	14.5	754227511
4	B	Chr4B	4048	318	83	4449	1490	171	1661	3878	6324	10202	38.4	2.7	16.3	673810255
4	D	Chr4D	3848	277	274	4399	1447	122	1569	3582	4870	8452	40.4	2.5	18.6	518332611
5	A	Chr5A	3464	225	64	3753	1353	145	1498	5450	7604	13054	24.8	1.9	11.5	713360525
5	B	Chr5B	4752	443	117	5312	1942	212	2154	5574	8288	13862	34.8	2.6	15.5	714805278
5	D	Chr5D	5327	372	105	5804	1983	179	2162	5574	6803	12377	35.6	2.6	17.5	569951140
6	A	Chr6A	3631	287	152	4070	1450	164	1614	4141	6377	10518	35.0	2.6	15.3	622669697
6	B	Chr6B	3423	283	106	3812	1326	164	1490	4627	8433	13060	28.7	1.9	11.4	731188232
6	D	Chr6D	2802	196	76	3074	1272	134	1406	4012	5318	9330	31.7	2.5	15.1	495380293
7	A	Chr7A	3052	236	124	3412	1339	142	1481	5573	8324	13897	24.0	1.7	10.7	744491536
7	B	Chr7B	1991	212	101	2304	956	138	1094	4892	8602	13494	19.5	1.6	8.1	764081788
7	D	Chr7D	4876	365	137	5378	1866	190	2056	5419	7666	13085	34.4	2.5	15.7	642921167
